iter	MAE
0	0.7403141087
5	0.689991976
10	0.6421660912
15	0.5971855373
20	0.5557378612
25	0.5176620697
30	0.4829954207
35	0.4512731823
40	0.423493933
45	0.3991701774
50	0.3774979568
55	0.3587359403
60	0.3420137397
65	0.3277838508
70	0.3155729976
75	0.3046637599
80	0.2951022142
85	0.2867068617
90	0.2791627344
95	0.2723523526
100	0.2666699602
105	0.2615736853
110	0.2570047881
115	0.2530464045
120	0.2492862261
125	0.2461086104
130	0.2428075494
135	0.2401780305
140	0.2374452056
145	0.2352939821
150	0.2333244405
155	0.2316243548
160	0.2297727049
165	0.228038306
170	0.2264168708
175	0.2252679944
180	0.2240685406
185	0.2229439383
190	0.2216985758
195	0.2206913312
200	0.2195880126
205	0.2186594185
210	0.2177902814
215	0.2167846998
220	0.2159382958
225	0.2150132413
230	0.2140231305
235	0.2131930364
240	0.2123733934
245	0.2115871329
250	0.2108822235
255	0.2102797655
260	0.2096345267
265	0.2089402972
270	0.2083143891
275	0.2075048158
280	0.2068623689
285	0.2061928865
290	0.2055648882
295	0.2049405973
300	0.2042234821
305	0.2036641409
310	0.2031476416
315	0.2025948761
320	0.2020896518
325	0.2016962927
330	0.2011536885
335	0.2006801075
340	0.2003017614
345	0.1998866457
350	0.1994177486
355	0.1988964586
360	0.1985065629
365	0.1981188947
370	0.1976809696
375	0.1973112743
380	0.1969000797
385	0.1964932028
390	0.1960503954
395	0.195668708
400	0.1953455012
405	0.1949838006
410	0.1946723417
415	0.1943501419
420	0.1940941427
425	0.1937057879
430	0.1933454605
435	0.1930296534
440	0.1926517498
445	0.1923600794
450	0.1919569405
455	0.1916014649
460	0.1913179418
465	0.1909865724
470	0.1906754645
475	0.1904273837
480	0.1901614368
485	0.1898111944
490	0.1895995934
495	0.189362162
500	0.189110923
505	0.1888046364
510	0.1885813179
515	0.1883367462
520	0.1880244025
525	0.1877552669
530	0.1875608912
535	0.1873397697
540	0.1870937639
545	0.1868859467
550	0.1866769089
555	0.1864205587
560	0.1862264271
565	0.1859622348
570	0.1857246662
575	0.185486411
580	0.1852172602
585	0.184983811
590	0.1848103223
595	0.1846529603
600	0.184491601
605	0.1842807476
610	0.1840849377
615	0.1838775172
620	0.1836908616
625	0.1835117582
630	0.1833374304
635	0.1831798243
640	0.1830061678
645	0.1828098392
650	0.1825984212
655	0.1824597798
